timestamp,corriente_ac_r,corriente_ac_s,corriente_ac_t,voltaje_ac_rs,voltaje_ac_st,voltaje_ac_tr,temp_sala_s01,temp_sala_s02
2025-12-18 21:50:00,56.919999999999995,57.919999999999995,64.57000000000001,217.53333333333333,216.69000000000003,222.16,26.166666666666668,24.0
2025-12-18 22:00:00,63.73,64.88,69.85333333333334,215.9333333333333,215.17,220.79666666666665,26.0,23.5
2025-12-18 22:10:00,57.4175,58.155,64.1725,217.2375,216.2775,221.85,24.5,22.0
2025-12-18 22:20:00,56.919999999999995,57.870000000000005,64.22333333333334,217.65,216.81000000000003,222.33666666666667,26.666666666666668,24.5
2025-12-18 22:30:00,64.22666666666667,64.88,69.85333333333334,216.40666666666667,215.40333333333334,220.97333333333336,23.666666666666668,21.0
2025-12-18 22:40:00,57.0075,57.8575,64.2475,216.83499999999998,215.71,221.2725,25.875,23.5
2025-12-18 22:50:00,60.65,61.596666666666664,67.18666666666667,216.23333333333335,215.34333333333333,221.03333333333333,26.333333333333332,23.666666666666668
2025-12-18 23:00:00,57.666666666666664,58.416666666666664,64.32000000000001,216.52666666666667,215.23000000000002,220.67999999999998,24.166666666666668,21.0
2025-12-18 23:10:00,57.307500000000005,58.305,64.62,216.26,215.3125,220.9175,26.625,24.0
2025-12-18 23:20:00,61.54333333333333,62.093333333333334,67.03666666666668,216.11333333333332,215.11333333333334,220.74,24.5,21.666666666666668
2025-12-18 23:30:00,57.02,58.21666666666667,64.57,216.04999999999998,215.2266666666667,220.74,25.166666666666668,23.0
2025-12-18 23:40:00,57.974999999999994,58.64,64.655,216.2575,215.1825,220.91750000000002,26.5,24.375
2025-12-18 23:50:00,61.29333333333333,61.74666666666667,66.94,216.58333333333334,215.40333333333334,221.21,23.5,20.833333333333332
2025-12-19 00:00:00,56.919999999999995,58.166666666666664,64.27333333333333,216.23000000000002,215.28666666666666,221.03333333333333,26.0,23.666666666666668
2025-12-19 00:10:00,62.822500000000005,63.56,68.73,215.76749999999998,214.79,220.695,26.125,23.5
2025-12-19 00:20:00,57.36666666666667,58.06666666666666,63.97666666666667,216.64333333333335,215.63666666666668,221.63,24.166666666666668,21.833333333333332
